dlm,outs,wickets
100,50,0
90.3,40,0
77.1,30,0
68.7,25,0
58.9,20,0
34.1,10,0
18.4,5,0
83.8,50,2
77.6,40,2
68.2,30,2
61.8,25,2
54,20,2
32.5,10,2
17.9,5,2
49.5,50,5
48.3,40,5
45.7,30,5
43.4,25,5
40,20,5
27.5,10,5
16.4,5,5
26.5,50,7
26.4,40,7
26.2,30,7
25.9,25,7
25.2,20,7
20.6,10,7
14,5,7
7.6,50,9
7.6,40,9
7.6,30,9
7.6,25,9
7.6,20,9
7.5,10,9
7,5,9
