fph
8186.0
6353
6862
5948
26534
7429
7429
20100
8262
9055
8284
8125
8525
8863
8930
8930
7482
3385
8159
8294
9008
8462
7211
7524
7885
7714.0
7502
85713
10390
8224
7176
6500
75423
7826
8166
7705
7988
7716
7822
7122
14248
13173
7605
8051
7981
8017
8286
7596
6364
8618
7389
7888
8430
8303
7104
7815
7559
7727
7320
7926
7922
7488
7914
7846
7661
8174
7744
8185
7688
7696
7306
8530
8090
7894
7803
8599
7632
8460
8231
9583
8231
8650
8402
9181
9065
9375
7870
8456
8421
151693
9713
8024
10531
8373
9997
8335
8508
9684
8067
8895
8303
7197
9553
7975
9751
6678
8134
9403
7311
8808
7891
8417
8328
7748
7686
8415
8595
11286
8555
7877
8741
22641
7553
8273
7550
9380
8540
7308
8635
7759
8692
7867
66639
8461
8036
7553
8453
8951
8271
8185
9115
71536
7986
8162
7538
8203
8050
8309
8930
8180
7901
8097
9501
7208
8981
7615
7059
7395
8067
8377
8465
7440
9058
7699
7636
8625
7986
8969
7257
8536
8802
7871
8399
7357
7866
10228
7592
8318
7884
8559
7553
8236
8030
8115
8878
11100
7371
8148
7746
7435
7781
8453
7605
8132
7806
8237
8104
8026
7964
8728
7614
6281
9081
9167
8764
9588
9061
8373
9340
7920
8357
8322
7821
9104
8728
8764
8741
9283
9377
8417
7358
8293
9016
8059
8747
8171
8212
8557
8548
7573
7992
8268
8411
10565
8461
7610
8509
7877
7485
7938
8138
8263
7603
8868
7963
8489
7838
8605
8367
8294
9383
8149
8445
9233
9291
8323
133452
8898
8493
8785
8291
8537
62239
9398
7353
8370
8414
8473
9436
8560
8595
8640
35790
8512
8369
8387
8560
8755
8334
8716
7979
8779
7775
8128
7475
7682
7811
8105
8084
8011
7878
7978
7552
7962
7686
8028
8304
56099
8275
7887
7790
7470
8774
7398
8476
8062
7646
7962
7700
8133
7986
8418
9470
8828
7611
7616
7408
7747
7582
8050
8032
8071
7968
8168
7536
8287
8328
8310
9122
7914
7415
