Store,Length,Value
bn,5.25,3.22
bw,5,21.8
cmk,3.75,25.14
cvs,7.5,40
fl,13.25,32.94
fl,12.25,19.75
fl,11.5,48.26
fl,12.25,46.98
fl,13,32.68
fl,13,50.56
fl,10.75,63.01
fl,11.75,48.22
k,13,63.93
k,17,40.41
k,13.25,80.45
k,8,57.01
k,11.25,60.2
k,13.75,100.04
k,10.25,40
k,8.75,33.78
k,8,45.92
k,14,39.27
k,10,65.47
kx,5.75,20.89
l,9.75,16.64
ps,15,16.85
sh,7.75,10.68
w,6.75,43.71
wf,17,117.15
