year,dispinc,consump,cpi
2000,8559.4,6830.4,172.2
2001,8883.3,7148.8,177.1
2002,9060.1,7439.2,179.9
2003,9378.1,7804,184
2004,9937.2,8285.1,188.9
2005,10485.9,8819,195.3
2006,11268.1,9322.7,201.6
2007,11894.1,9826.4,207.3
2008,12238.8,10129.9,215.303
2009,12030.3,10088.5,214.537
