"Age","games","runs","hits","walks","avg"
29,113,41,69,45,0.21
27,141,55,123,22,0.254
26,161,108,216,60,0.338
21,153,76,158,75,0.274
30,90,38,76,44,0.26
29,107,38,76,43,0.206
30,85,27,62,21,0.21
26,162,116,168,88,0.261
29,128,58,112,43,0.251
25,118,40,60,16,0.209
25,86,24,54,23,0.217
22,49,31,53,15,0.264
25,48,11,22,8,0.164
23,45,11,20,18,0.164
32,36,13,34,5,0.262
24,59,15,26,14,0.217
23,41,15,23,11,0.23
