year,quarter,sales
2001,1,897
2001,2,476
2001,3,376
2001,4,509
2002,1,967
2002,2,529
2002,3,407
2002,4,371
2003,1,884
2003,2,407
2003,3,310
2003,4,338
2004,1,900
2004,2,448
2004,3,344
2004,4,274
2005,1,740
2005,2,261
2005,3,289
2005,4,319
2006,1,1036
2006,2,602
2006,3,536
2006,4,349
2007,1,1050
2007,2,633
2007,3,435
2007,4,415
